rating,startYear,runtimeMinutes,awardWins,totalImages,totalVideos,totalCredits,criticReviewsTotal,titleType,awardNominationsExcludeWins,canHaveEpisodes,isAdult,numRegions,userReviewsTotal,ratingCount,countryOfOrigin,genres
8,1974,51,0,2,0,40,1,1,0,0,0,1,2,88,['GB'],Drama
8,1979,58,0,6,0,51,0,3,0,0,0,1,0,4194,['TR'],"Comedy,Romance"
9,1991,30,0,5,0,163,0,1,0,0,0,1,7,4146,['US'],"Animation,Comedy"
9,1964,90,0,0,0,18,0,8,0,0,0,1,0,12,['XWG'],Comedy
7,1976,58,2,10,0,42,10,3,2,0,0,20,13,1443,"['FR', 'XWG']","Drama,War"
7,1977,100,0,2,0,22,0,3,0,0,0,1,0,20,['IT'],"Drama,Romance"
6,2021,58,0,0,0,92,0,1,0,0,0,1,0,16,['NO'],"Comedy,Drama"
7,2015,27,0,16,0,247,5,7,0,0,0,5,37,2865,['GB'],"Action,Horror,Sci-Fi"
7,2014,58,0,5,0,81,0,4,0,1,0,3,0,19,['US'],Drama
8,1991,30,0,0,0,8,0,7,0,0,0,1,0,15,['HR'],Short
6,1980,58,0,3,0,19,0,3,0,0,0,1,0,95,['EG'],"Comedy,Romance"
8,2016,58,0,34,1,18,0,3,0,0,0,1,0,56,['IN'],Comedy
3,2013,93,1,8,1,79,0,3,0,0,0,3,1,108,['US'],Action
7,1983,58,0,0,0,54,0,1,0,0,0,1,0,9,['JP'],"Action,Adventure,Animation"
8,2014,58,0,2,0,200,4,1,0,0,0,1,0,237,['US'],"Drama,History,War"
9,1996,50,0,2,0,80,0,1,0,0,0,1,0,37,['GB'],"Comedy,Crime,Drama"
6,2007,58,0,0,0,9,0,5,0,0,0,1,1,9,['US'],"Documentary,Short"
8,1965,30,0,11,0,40,0,1,0,0,0,1,4,302,['US'],"Comedy,Family"
5,2012,58,0,0,0,25,1,5,0,0,1,1,0,8,['US'],Adult
7,1980,77,0,0,0,43,17,3,0,0,1,8,10,680,['US'],"Adult,Drama"
6,1985,90,0,0,0,24,0,3,0,0,1,1,1,10,['US'],Adult
6,1989,35,0,8,0,85,0,5,0,0,0,1,1,45,['US'],"Family,Fantasy,Short"
10,1989,58,0,0,0,5,0,9,0,0,0,1,0,91,['ES'],Drama
8,2011,44,0,1,0,180,0,1,0,0,0,1,1,127,['US'],"Crime,Drama,Mystery"
8,1983,58,2,3,0,64,0,4,0,1,0,6,0,52,['MX'],"Drama,Romance"
